S1E1,Dialogue
SARAH," Okay, okay. What about this one? Remember when Erika Eleniak guest starred as Goober's cousin from out of town, and Brad had a boner for the whole episode?"
BOJACK, What? No.
SARAH," You can totally see it in every scene. Cold open, boner! Act one, boner! Commercial break-- Hello, we're from the Wheaties corporation! Back to boners!"
BOJACK," Okay, we'll put it on the list. We gotta watch that one."
SARAH," What about the one where the writers made Joelle dress up like a pumpkin, and the whole episode was fat jokes, so then Joelle got an eating disorder?"
BOJACK, Everything was so much simpler back then.
SARAH," She had to go to a clinic. She missed, like, five episodes."
BOJACK," We didn't know how good we had it. We got to come to workand have fun every day, and we weren't worried about our legacy or awards...because buildings are supposed to be rectangles, goddamn it! Wait, what were we talking about?"
SARAH," We were talking about Horsin' Around. Then, you had to go pee. Then, you came back covered in toilet paper and pretended to be a mummy. Then, you took it all off because you decided Egypt was stupid, especially pyramids, because you think triangle buildings are, and I quote, gauche as shit."
BOJACK," That does sound like me, but I don't remember any of that. I must have blacked out. Maybe I should lay off the alcohol for...and I said, You're sitting on the pizza, Mr. President. Whoa! I think I just had another one."
SARAH, Another what? Pizza?
BOJACK," No, blackout. The thing we were just talking about. Try to keep up here."
SARAH, Oh...Boom! Boner! Pay up! What did I tell you?
BOJACK," That's not a boner. It's a shadow. Well, I think we all learned a valuable lesson today about the Armenian genocide."
SARAH," The Armenian genocide was too much, man! All right! Next episode."
BOJACK, Why can't life be like it was on Horsin' Around? All our issues conveniently settled in 22 hilarious minutes. 
SARAH," You know, it's amazing that it's legal for kids to be actors. How is that not child labor? I didn't know what I was signing up for. I was three."
BOJACK, This is getting me depressed. Let's do something fun.
SARAH," Oh! Okay, you know what really kicks ass? The planetarium! You get crazy high in the parking lot, then you go in and get your mind blown by all the trippy galaxies and shit."
BOJACK," That sounds stupid. I'm gonna be in charge of the fun. No, no, no! That was drywall. Jesus, we have to start marking our drugs more clearly. Let's just take a box of whiskey and go."
SARAH, Whoo!
Bird, It was just so hard.
BOJACK, Wha--? What the--?
Bird," I was stuck in a terrifying cycle of drinking, lifting my head up, drinking, lifting my head up, drinking, lifting my head up."
BOJACK," Coffee, stale donuts, attention hogs telling boring stories about themselves? Jesus! Are we at a 12-step meeting?"
SARAH," Now, you're a detective? Last night, you couldn't even solve the mystery of where the toilet is."
BOJACK," So, all our partying was an elaborate trick just to get me to go sober?"
SARAH," No, Detective Pukes in the Washing Machine. You're here because I couldn't leave you alone in my house, and I had to come today. Gotta get my nine-month chip."
BOJACK, Chip? We've been wasted for...31 hours?
SARAH, That's no reason for me to not get my chip.
BOJACK, That's literally exactly the reason you shouldn't get your chip.
SARAH," Nowhere in the 12 steps does it say to not drink. That's not actually one of the steps. Loophole. Take a swig. If you have to listen to losers talk about their shitty sober lives, it's a lot more fun to be buzzed."
Bird, And I realized people don't change because they want to change. They change because they have to change.
BOJACK," Oh, God. Boo!"
SARAH," Oh, booing is generally frowned upon here."
BOJACK, How else am I supposed to expresshow boring these stories are?
Simon, My name is Simon and I'm an alcoholic.
All," Hi, Simon."
Simon, My rock bottom was when I actually woke up under a rock. Can't get lower than that.
BOJACK, Come on! You people call yourself drunks? Most of this is stuff I do on a daily basis completely sober.
Bird," Trust me, pal, we've done some awful things. One time, I didn't want my friend to move out, so I used character actress Ann Dowd to help me sabotage his hip-hopera."
BOJACK," Oh, please, that's baby stuff. You so-called drunks want something to feel shitty about?"
SARAH," BoJack, maybe we should go."
BOJACK, I got somethin' for ya. Whoa. My name is BoJack.
All," Hi, BoJack."
BOJACK," Oh, like you didn't know? Anyway, I once went all the way down to New Mexico to see a woman that I knew, and she had a young daughter, Penny. Penny Carson. That's her real name. You can look her up. I don't care. And first, I tried to sleep with the mom, but she said no."
BOJACK," Then, I tried to sleep with the daughter. Then, the mom walked in on me trying to sleep with the daughter, and I was like, Oopsie-doopsie! Exit stage right!"
Bird," Oh, God."
BOJACK," The worst part is, I don't even know what happened after I left. Did I ruin the family? Did I scar that little girl for life? I don't know. I'll never know. And that's just, like, one of a billion things that I have going through my head all the time. So, anyone got a better story than that?"
Bird, Wow.
BOJACK," Didn't think so, bitches. Where's my trophy, or chip, or whatever? Whoa!"
SARAH," That was impressive, BoJack. I've never seen them cancel an AA meeting because everyone got bummed out before."
BOJACK," Uh, what are you talking about?"
SARAH," You told everyone about that Penny chick. Then, you went on and on about how you're never going to change. Then, you chased the slug around, threatening to pour salt on his head."
BOJACK, I talked about Penny?
SARAH, Hey! We've all done shitty stuff before. Most of us aren't as proud of it as you seem to be.
BOJACK, I'm not proud. I feel really terrible that I might have really messed that girl up.
SARAH," Oh, she's fine. I looked her up on Facebook. She's going to Oberlin, likes Thai food and the smell of a fire on the first really cold day of winter."
BOJACK, That doesn't mean anything. Everyone likes the smell of fire on the first cold day of winter.
SARAH," You know, I used to feel just like you before I got into this 12 steps thing. They taught me how to make amends. You just say you're sorry for the things you did and you get a clean slate."
BOJACK," So, what? Just dirty up the slate again."
SARAH," Then, you just make amends again. It's a never-ending cycle, where you always end up feeling good about yourself."
Man, No!
BOJACK," You know what? This may be the nitrous and bath salts talking, but I want to do some more nitrous and bath salts. And then, let's make some goddamn amends."
SARAH, Maybe you should start with the family whose playhouse you just smashed.
Kid," Oh, no!"
BOJACK," Oh. Hey, kid! I'm sorry your lame dad built such a cheap-ass playhouse!"
SARAH," Yeah, you gotta use parallel joints to support that foundation, dumbshit! Also, suck a dick!"
BOJACK, You know what? I do feel better.
SARAH, I don't think they're home.
BOJACK," So, we wait. I need to make amends to Diane, and we're not leaving until I do."
SARAH," But it's boring out here, and I'm hungry and I'm bored!"
BOJACK," I bet they have food inside. Let's see if I still have that spare key. Here it is. Yes! Okay, after we get food, remind me that this is another thing I need to make amends for."
BOJACK, Where are those two? They did not keep their fridge stocked enough for two stoned people waiting around for hours.
SARAH," It's only been, like, ten minutes. You have a real thing with food."
BOJACK," That's what happens when you mix the appetite of a horse with the appetite of someone with a hole inside him that needs to be constantly filled with attention, food, and sex. Pass the Bugles."
SARAH, There's no more Bugles. There's no more of anything. Let's just go.
BOJACK, I can't leave until I make amends.
SARAH," I got a idea! My name is BoJack's friend What's-Her-Face and I wear glasses. Do you have something to say to me, BoJack?"
BOJACK, Am I BoJack or Mr. Peanutbutter?
SARAH, You can be anyone you want. This is your dream... dream... dream...
BOJACK," Stop doing that. We're both awake. Let's just get to this. Diane, I'm sorry I said mean things to you."
SARAH," That's cool. I forgive you. Wait, would my character say that? What's Diane's deal again? She's, like, an Asian Daria?"
BOJACK, She's a little more complex.
SARAH," But she's basically Asian Daria, right? With the glasses and the jacket and her whole ""blah"" thing."
BOJACK," Okay, shut up. Now, I'll be Mr. Peanutbutter and you make amends to me."
SARAH, Who's Mr. Peanutbutter?
BOJACK," And, now, you be Mr. Carolyn and I'll be Princess Diana."
SARAH," Oh, yeah. Good idea."
MR. PEANUTBUTTER, Um... should we do something about this?
DIANE," Hey, why don't you twosleep this off in our guest room?"
BOJACK," Oh, my God, that mirror is talking to us!"
SARAH," You can't stop us, us from the future!"
BOJACK," We're making amends, assholes!"
DIANE, Ow! Come on!
BOJACK, That felt so good!
SARAH," See? When you make amends, don't you just feel lighter?"
BOJACK," Well, I also ate a shit ton of Bugles, so no. But I do feel like we got to the bottom of who really killed Princess Di."
SARAH, It was all of us.
BOJACK," Next stop, Todd! Todd, I'm sorry. I want to take full responsibility for what happened, even though it is not my fault and I did nothing wrong. Emily is an adult woman who can make her own choices. And besides, are you even really into girls? I mean, what is your deal?"
Man," Hey, what are you doing with our son? Wait, you're BoJack Horseman."
BOJACK," I am, and this is my best buddy Todd. "
Man, That movie star has really taken a shine to our boy. You think this is our big break?
Mom," You don't think he's inappropriately interested, do you?"
Man," What? No. But if he is, that could also be a big break. I'm just saying."
Man," Hey, wait!"
Mom, Hold on. Where are you going? Come back.
Man, You want to take Todd for a sleepover?
